title;abstract;auto_keywords;hand_keywords
Глава транспортного департамента: в ближайшие десять лет троллейбусы с улиц Таллинна не исчезнут;"Глава Таллиннского транспортного департамента Андрес Харьо сказал, что поскольку троллейбусный парк сейчас очень современный и находящиеся в эксплуатации троллейбусы выдержат как минимум десять лет, то в ближайшее время троллейбусы с улиц столицы не исчезнут.. ”Троллейбусы никто снимать не будет. То, что у нас есть, это новые низкие троллейбусы Solaris. Ресурсов у них предостаточно, они призваны служить около десяти лет”, — сказал Харьо Delfi.Чиновник отметил, что будущее в любом случае за электротранспортом. На настоящий момент электроавтобусы стоят дорого, но их эксплуатация намного более гибкая, чем эксплуатация троллейбусов, которые, например, нельзя направить в объезд или с которыми наблюдается больше проблем в случае аварии. Что касается стоимости эксплуатации, то, по словам Харьо, тщательных расчетов пока, скорее всего, не проводилось: ”С одной стороны, троллейбусы имеют контактные линии и подстанции, но с другой стороны, для работающего на аккумуляторах электроавтобуса нужно покупать аккумуляторы, создать инфраструктуру подзарядки. И в итоге у обоих внутри будет электромотор. В этом случае особой разницы не будет”.Что касается дизайна, то внешне автобусы и троллейбусы будут иметь обтекаемый корпус (как сейчас у новых трамваев) и походить друг на друга.";Таллинн;"троллейбус;электробус;общественный транспорт;будущее транспорта;"
Финансовое неравенство среди жителей Эстонии растет;"Рост доходов населения и уровень жизни увеличивается, но пенсионеры и родители-одиночки при этом находятся в более плохом положении, пишет Aripaev.. Как сообщили в радиопередаче ”Arvude taga” аналитики Департамента статистки Анет Мюйрсоо и Ану Ымблус, региональные различия по-прежнему велики, а, например, доходы семей с одним родителем и вовсе снизились.Несмотря на то, что в прошлом году показатели по относительной бедности в Эстонии выросли, по словам экспертов, это не означает уменьшения благосостояния людей. Скорее всего, во многом рост показателей произошел за счет роста финансового неравенства.";Департамент статистики Эстонии;"финансовое неравенство;бедность;экономическая статистика"
С этого года Касса по безработице будет предлагать молодежи консультирование по карьере;"С 1 января 2019 года при Кассе по безработице начал работать Центр карьеры, который будет предлагать информирование и консультирование по карьере всем желающим, в том числе и школьникам.. ”В связи с изменениями существенно расширится сфера ответственности кассы по безработице в направлении молодежи — до этого мы в основном занимались молодежью, помогая им искать работу и информируя их о том, что связано с рынком труда. Теперь наше сотрудничество со школами и учениками станет еще более тесным для того, чтобы молодые люди могли в будущем делать осознанный выбор”, описывает изменения председатель правления Кассы по безработице Меэлис Паавел.За последние полгода Касса по безработице переделала свою систему услуг по карьере и интегрировала их с уже существующими услугами по карьере, которые предлагала организация Rajaleidja от SA Innove. Помимо информирования и консультирования по карьере, с этого года Касса по безработице отвечает также за развитие методики, управление качеством, мониторинг и анализ услуг по карьере.Правительство Республики в апреле 2018 года утвердило программу реорганизации услуг по карьере, в результате которой с 1 января 2019 года Эстонская касса по безработице начинает оказывать услуги по информированию и консультированию по карьере всем желающим, в том числе и школьникам. Для это объединили услуги по карьере центров Rajaleidja при SA Innove с системой услуг по карьере эстонской Кассы по безработице.";"Касса по безработице;SA Innove;Меэлис Паавел;Rajaleidja";"касса по безраюотице;рфнок труда;выбор профессии;карьера "
Под завалами дома в Магнитогорске нашли живого попугая;"Под завалами обрушившегося многоквартирного дома в Магнитогорске 2 января нашли живого волнистого попугая. Об этом сообщает РИА ”Новости” со ссылкой на пресс-службу городской администрации.. ”Да, действительно, сегодня спасатели нашли живого волнистого попугая”, — рассказали в горадминистрации.Взрыв газа в подъезде многоэтажного дома в Магнитогорске произошел в 6.00 31 декабря. По последним данным, спасатели обнаружили тела 14 погибших. Всего в зоне обрушения проживали 120 человек, судьба 27 них остается неизвестной.Ранее сообщалось, что под завалами дома в Магнитогорске спустя сутки обнаружили младенца. Его доставили на лечение в Москву.";Москва;"Магнитогорст;обрушение дома;вызрыв газа"
В связи с открытием мемориала в Лахингувялья изменены расписания части поездов на линиях Таллинн — Аэгвийду и Таллинн — Нарва;"В связи с открытием памятника битве под Кехра в ходе Эстонской освободительной войны, 6 января на линиях Таллинн — Нарва и Таллинн — Аэгвийду будет действовать временное расписание. Три рейса на Аэгвийду на участке Кехра — Аэгвийду будут заменены автобусом.. Из-за мероприятия в рамках столетия Эстонской Республики, в воскресенье, 6 января, с 10:25 до 12:00 участок железнодорожных путей Кехра — Аэгвийду будет закрыт для движения рейсовых поездов. Поэтому в данное время на рейсах линии Таллинн — Аэгвийду будут использоваться автобусы, и как на линии Таллинн — Аэгвийду, так и на линии Таллинн — Нарва будет действовать временное расписание.По случаю открытия памятника, в Лахингвялья поедет также и бронепоезд Wabadus. Попасть на мероприятие можно на поезде Таллинн-Аэгвийду, выходящем из Таллинна в 9:40, обратно же в Таллинн поезд отправится в 13:06.Временное изменение будет действовать только 6 января — расписание с указанием мест остановки автобусов, заменяющих поезда, можно найти на сайте Elron, а вскоре и на платформах ожидания. Бесплатную информацию о движении поездов также предоставляет и круглосуточный инфотелефон 616 0245.";"Таллинн;Нарва;Кехра;Elron;Wabadus";"изменение расписания;Таллинн"
"ФОТО| Шторм бушует в Таллинне, валит деревья и разбрасывает дорожные знаки";"Начавшийся ночью шторм, по словам синлоптиков, еще не достиг своего пика — во второй половине дня на побережье ожидается усиление ветра. Как сообщил дежурный синоптик государственной Службы прогноза погоды, пока что шторм не подает признаков ослабления, а местами ветер усиливается и в отдаленных от моря регионах, достигая порывами значений до 27 км/ч.Финская метеоролигечкая служба нарекла этот шторм именем Аапели (Aapeli) и он почти достиг силы урагана.На острове Богскяр в Аландском архипелаге средняя на отрезке в 10 минут скорость ветра равнялась 32,5 м/с. Это выше прежнего рекорда для Финляндии (31 м/с), зафиксированного в 1971-м году, дважды в 1975-м и 1995-м, - сказал синоптик Паули Йокинен. Скорость ветра на архипелаги еще пока не достигла ураганных значений в 33 м/с. Однако его порывы временами превышали и 41,5 м/с.";"Таллинн;Финляндия";"шторм;прогноз погоды"
Законопроект сделает условия получения учебного кредита более гибкими и выгодными для студентов;"Министерство образования и науки отправило на согласование другим министерствам и на рассмотрение партнерам проект изменений в закон об Учебных пособиях и учебном кредите. Поправки в закон позволят сделать условия получения учебного кредита более гибкими и выгодными для студентов.. Глава отдела высшего образования министерства Маргус Хайдак отметил, что система учебных кредитов, сформированная еще в девяностые годы, устарела, и число студентов, берущих кредит, последние десять лет постоянно сокращалось. ”Изменения в закон вносятся не с целью увеличить число тех, кто берет учебный кредит, а для того, чтобы создать более выгодные условия для студентов, особенно для тех, кто находится в худшем финансовом положении. Больше не будет зафиксированной процентной ставки, можно будет получить отсрочку начала выплаты кредита, и вместо двух поручителей будет требоваться только один”, — сказал Хайдак.Процентная ставка по учебному кредиту с начала 1990-х годов всегда фиксировалась законом — двенадцатимесячный Euribor плюс 2% в год, но не менее, чем 5% в год. Во времена эстонской кроны пятипроцентная ставка по кредиту была выгодна для берущих кредит, однако условия, предусмотренные законом, не учитывали улучшение кредитного рейтинга государства. Согласно законопроекту, процентная ставка по учебному кредиту, гарантированная государством, будет определяться в виде договоренности между выдающим кредит учреждением и получателем, однако она не может превышать двенадцатимесячный Euribor плюс 3% в год.В законопроекте также описаны возможности, на основании которых в качестве исключения начало выплат по кредиту можно отсрочить до 18 месяцев. Одной из причин может стать состояние здоровья получателя кредита, которое не позволило ему в течение года устроиться на работу. Другой причиной может быть неожиданное ухудшение финансового положения получателя.Большую часть учебных кредитов берут на основании поручительства. Требование о наличии двух поручителей или залога недвижимости заменят на требование об одном поручителе или залоге недвижимости. Требование о наличии двух поручителей с определенным доходом часто становится препятствием для студентов, которые находятся в более сложном финансовом положении, а для банков такое условие означает дополнительные административные расходы.Законопроект упразднит конкурс на определение кредитных организаций, и право на выдачу учебного кредита получат все учреждения, имеющие лицензию на деятельность Финансовой инспекции, которые заключили с государством договор об организации выдачи учебных кредитов.Подать заявку на получение учебного кредита по-прежнему могут учащиеся профессиональных училищ и вузов, которые учатся как с полной или частичной нагрузкой.Законопроект был отправлен на согласование министерствам и на обсуждение партнерам — Союзу студенческих объединений Эстонии, Совету ректоров Эстонии, Совету ректоров прикладных высших учебных заведений, Союзу ученических представительств Эстонии, Объединению развития профессионального образования Эстонии, а также кредитным учреждениям.Минувшим летом таким же образом было согласовано намерение об изменении закона, полученная обратная связь учитывалась при составлении законопроекта.Планируется, что закон вступит в силу 1 января 2020 года.";"Министерство образования и науки;Euribor;Эстония";"учебный кредит;отсрочка;законопроект"
В Дании шесть человек погибли при аварии на железнодорожном мосту;"По данным датской полиции, инцидент произошел на мосту Большой Бельт между островами Фюн и Зеландия. Сейчас мост закрыт для движения, причина аварии уточняется. Несколько человек стали жертвами аварии на железнодорожном мосту Большой Бельт в Дании. Об этом сообщается в Twitter датской полиции. В настоящее время мост закрыт, количество погибших и причина аварии уточняются.Позднее Avisen со ссылкой на полицию сообщил, что жертвами аварии стали шесть человек. По информации DR, авария произошла около 9:30 мск после того, как пассажирский поезд, следовавший в Копенгаген, применил экстренное торможение из-за столкновения с неким предметом.По данным TV2, поезд врезался в часть оторвавшейся крыши одного из грузовых вагонов поезда, следовавшего в сторону острова Фен. Пострадали по меньшей мере восемь человек, они получили легкие травмы. Очевидец рассказал телеканалу, что во время движения пассажирского поезда был слышен громкий звук, после чего в вагоне выбило три окна.По информации Avisen, в пассажирском поезде находились 160 человек, в том числе трое проводников. Всех пострадавших и пассажиров доставили в город Нюборг.Висячий мост Большой Бельт — третий в мире по длине пролета (1624 м), он соединяет острова Фюн и Зеландия. Строительство моста проходило с 1988 по 1998 год. Общая длина моста составляет 6790 м, ширина — 31 м.";"Дания;Копенгаген;Twitter;Очевидец;TV";"инцидент;авария;мост"
22-летняя жительница Эстонии: мое новогоднее обещание простое — уехать отсюда!;"22-летняя Реэлика написала в Naistekas, что дала на Новый год обещание: уехать из Эстонии.. ”Мы с друзьями традиционно подняли бокалы с шампанским, чтобы проводить 2018 год. Тогда я впервые уверенно сказала друзьям, что уже почти уехала отсюда. Нет, у меня пока не куплены билеты на самолет, и я еще не занималась подготовкой документов, но, думаю, что в скором времени разберусь с этим”, — написала девушка. Сначала она планирует направиться в Австралию, где будет работать на ферме. Она отмечает, что многие ее одноклассники уже живут за границей.”Со стороны может показаться, что это просто тяга молодежи к путешествиям и всему новому. Но на своем примере могу честно сказать, что я просто хочу уехать. Уехать! Друзья, которые переехали в Австралию, рассказывали, насколько свободно живут там люди. Они не создают себе искусственных проблем, а наслаждаются тем, что есть. И ценят тех, кто находится рядом. В Эстонии в этом плане все как-то беспросветно. Недавно мой знакомый немец побывал здесь и был сильно шокирован тем, как зло люди смотрели на него на улицах из-за его темного цвета кожи”.”Политика меня не интересует, но она неизбежно залезает во все окна и двери. У меня есть друзья-гомосексуалисты. Здесь нет никакой темы, людям нашего возраста это не мешает. Все мы люди, и важно только то, что человек из себя представляет. И я слышу, как какие-то люди, которые говорят, что выступают за сохранения нации, критикуют это. Как будто мы живем в средневековье!”[…]”Да и просто негативизм. Недавно моя бабушка праздновала день рождения. Это был юбилей, то есть большой праздник. Много людей старшего и пожилого возраста. И каков был общий итог вечера? Таков, что в Эстонии все плохо. Например, около получаса они обсуждали длинные очереди к врачам и ругали политиков и Больничную кассу. […] Именно этот негативизм и печалит и заставляет думать о том, как реализовать себя в каком-нибудь другом месте, где не придется чувствовать себя странно из-за того, что ты не жалуешься на жизнь”.";"Эстония;Австралия";"планы уехать;жизнь заграницей;миграция"
Жители Эстонии тратят на алкоголь больше всех в ЕС;"Согласно обнародованным во вторник данным Евростата, в 2017 году расходы домохозяйств Эстонии на алкоголь были самыми высокими в ЕС.. Статистика показала, что эстонские домохозяйства тратили на алкоголь 5,2% от общего числа расходов. За Эстонией следует Латвия (4,9%) и Литва (4%), пишет Euronews.За странами Балтии следуют Польша (3,5%), Чехия(3,3%), Венгрия (3%) и Финляндия (2,8%). Средний показатель по ЕС составил 1,6%.На последнем местах в таблице расположились Испания (0,8%), Италия ( 0,9%) и Греция ( 0,9%).Всего в 2017 году в Эстонии семьи потратили на алкоголь в общей сложности более 130 млрд евро.";"ЕС;Эстония;Евростат;Венгрия;Euronews;Италия;страны Балтии;Чехия;Испания;Латвия;Финляндия;Польша;Греция;Литва";"алкоголь;статистика"
